disorder_id,name,name_alt1,name_alt2,abbr,gene_sym,hgnc_gene_sym,hgnc_gene_name,ncbi_gene,omim_no,inheritance,treatability,prevalence
25,GNMT-related Glycine N-methyltransferase deficiency,NA,NA,GNMT,GNMT,GNMT,glycine N-methyltransferase,27232,606664,Autosomal Recessive,unknown,NA
26,AHCY-related S-adenosylhomocysteine hydrolase deficiency,NA,NA,AHCY,AHCY,AHCY,adenosylhomocysteinase,191,613752,Autosomal Recessive,yes,NA
27,CBS-related Cystathionine beta-synthase deficiency,Classical homocystinuria,NA,CBS,CBS,CBS,cystathionine-beta-synthase,875,236200,Autosomal Recessive,yes,1:344 000
28,CTH-related Cystathionine gamma-lyase deficiency,Cystathioninuria,Cystathioninase deficiency,CTH,CTH,CTH,cystathionine gamma-lyase,1491,219500,Autosomal Recessive,unknown,1:100 000-9:100 000
29,SUOX-related Isolated sulfite oxidase deficiency,Sulfocysteinuria,NA,SUOX,SUOX,SUOX,sulfite oxidase,6821,272300,Autosomal Recessive,unknown,NA
30,MTR-related Methionine synthase deficiency,"Homocystinuria-megaloblastic anemia, cblG type",NA,cblG,MTR,MTR,5-methyltetrahydrofolate-homocysteine methyltransferase,4548,250940,Autosomal Recessive,yes,NA
31,MTRR-related Methionine synthase reductase deficiency-cblE,"Methylcobalamin deficiency, cblE type","Vitamin B12-responsive homocystinuria, cblE type",cblE,MTRR,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,4552,236270,Autosomal Recessive,yes,NA
32,GLDC-related Nonketotic hyperglycinemia due to glycine decarboxylase deficiency,Glycine encephalopathy,NA,NKH,GLDC,GLDC,aminomethyltransferase;glycine cleavage system protein H;glycine decarboxylase,275,238300,Autosomal Recessive,yes,1:55 000 in Finland; 1:63 000 in British Columbia (Canada)
33,PHGDH-related 3-phosphoglycerate dehydrogenase deficiency,NA,NA,PHGDH,PHGDH,PHGDH,phosphoglycerate dehydrogenase,26227,601815,Autosomal Recessive,yes,NA
34,PSPH-related Phosphoserine phosphatase deficiency,NA,NA,PSPHD,PSPH,PSPH,phosphoserine phosphatase,5723,172480;614023,Autosomal Recessive,yes,NA
35,PSAT1-related Phosphoserine aminotransferase deficiency,NA,NA,PSAT,PSAT1,PSAT1,phosphoserine aminotransferase 1,29968,610992;610936,Autosomal Recessive,yes,NA
36,ABAT-related GABA transaminase deficiency,NA,NA,GABAT,ABAT,ABAT,4-aminobutyrate aminotransferase,18,137150;613163,Autosomal Recessive,unknown,NA
37,ALDH5A1-related Succinic semialdehyde dehydrogenase deficiency,4-Hydroxybutyric aciduria,NA,SSADH,ALDH5A1,ALDH5A1,aldehyde dehydrogenase 5 family member A1,7915,271980;610045,Autosomal Recessive,yes,NA
38,ALDH4A1-related Pyrroline-5-carboxylate dehydrogenase deficiency,Hyperprolinemia type 2,NA,P5CDH,ALDH4A1,ALDH4A1,aldehyde dehydrogenase 4 family member A1,8659,239510,Autosomal Recessive,yes,NA
39,SLC36A2; SLC6A20; SLC6A19-related Iminoglycinuria,NA,NA,IG,SLC36A2; SLC6A20; SLC6A19,SLC36A2;SLC6A19;SLC6A20,solute carrier family 36 member 2;solute carrier family 6 member 19;solute carrier family 6 member 20,153201;340024;54716,242600,Autosomal Recessive,unknown,1:15 000
40,PRODH-related Proline dehydrogenase deficiency,Proline oxidase deficiency,Hyperprolinemia type I,HP1,PRODH,PRODH,proline dehydrogenase 1,5625,239500,Autosomal Recessive,unknown,NA
41,GLUL-related Glutamine synthetase deficiency,NA,NA,NA,GLUL,GLUL,glutamate-ammonia ligase,2752,610015,Autosomal Recessive,unknown,1:2 000 000
42,ALDH18A1-related Pyrroline-5-carboxylate synthetase deficiency,"Glutamate gamma-semialdehyde synthetase deficiency, spastic paraplegia type 9A",Autosomal dominant spastic paraplegia type 9A,SPG9A,ALDH18A1,ALDH18A1,aldehyde dehydrogenase 18 family member A1,5832,138250;219150,Autosomal Dominant,unknown,<1:1 000 000
43,AASS-related Alpha-aminoadipic semialdehyde synthase deficiency,Familial hyperlysinemia,Saccharopinuria,SDH,AASS,AASS,aminoadipate-semialdehyde synthase,10157,268700,Autosomal Recessive,unknown,NA
45,HAL-related Histidine ammonia-lyase deficiency,Histidase deficiency,Histidinemia,HAL,HAL,HAL,histidine ammonia-lyase,3034,235800,Autosomal Recessive,unknown,varies between 1:8 600-1:180 000
46,UROC1-related Urocanase deficiency,Urocanic aciduria,NA,UROC,UROC1,UROC1,urocanate hydratase 1,131669,276880,Autosomal Recessive,unknown,NA
47,FTCD-related Formimidoyltransferase cyclodeaminase deficiency,Forminoglutamic aciduria,Glutamate formimino transferase deficiency,FIGLU,FTCD,FTCD,formimidoyltransferase cyclodeaminase,10841,229100,Autosomal Recessive,unknown,NA
48,SLC3A1-related Cystinuria type A,NA,NA,Cystinuria,SLC3A1,SLC3A1,solute carrier family 3 member 1;solute carrier family 7 member 9,6519;11136,220100,Autosomal Recessive,yes,1:7 000
49,SLC1A1-related Dicarboxylic aminoaciduria,NA,NA,DA,SLC1A1,SLC1A1,solute carrier family 1 member 1,6505,222730,Autosomal Recessive,unknown,NA
50,SLC6A19-related Hartnup disorder,NA,NA,HD,SLC6A19,SLC6A19,solute carrier family 6 member 19,340024,234500,Autosomal Recessive,yes,1:30 000
51,SLC7A7-related Lysinuric protein intolerance,Dibasic aminoaciduria type 2,NA,LPI,SLC7A7,SLC7A7,solute carrier family 7 member 7,9056,222700,Autosomal Recessive,yes,"1:60 000 in Italy and Finland, <1:1 000 000 in most other places"
52,PEPD-related Prolidase deficiency,Iminodipeptiuria,NA,NA,PEPD,PEPD,peptidase D,5184,170100;613230,Autosomal Recessive,unknown,NA
53,CNDP1-related Carnosine dipeptidase 1 deficiency,Carnosinemia and homocarnosinosis,NA,CARN,CNDP1,CNDP1,carnosine dipeptidase 1,84735,212200,Autosomal Recessive,unknown,NA
55,BCKDHA-related Branched-chain ketoacid dehydrogenase E1 alpha deficiency,Maple syrup urine disease type 1a,NA,MSUD,BCKDHA,BCKDHA,"branched chain keto acid dehydrogenase E1, alpha polypeptide;branched chain keto acid dehydrogenase E1 subunit beta;dihydrolipoamide branched chain transacylase E2;dihydrolipoamide dehydrogenase",593,248600,Autosomal Recessive,yes,1:200 000 in Europe
56,IVD-related Isovaleryl-CoA dehydrogenase deficiency,Isovaleric acidemia,NA,IVA,IVD,IVD,isovaleryl-CoA dehydrogenase,3712,243500,Autosomal Recessive,yes,1:100 000-9:100 000
57,MCCC1-related 3-Methylcrotonyl-CoA carboxylase 1 deficiency,3-Methylcrotonylglycinuria type 1,NA,MCC A,MCCC1,MCCC1,methylcrotonoyl-CoA carboxylase 1;methylcrotonoyl-CoA carboxylase 2,56922,210200,Autosomal Recessive,yes,1:50 000-1:30 000 in Europe
58,AUH-related 3-Methylglutaconyl-CoA hydratase deficiency,3-Methylglutaconic aciduria type I,NA,MGA1,AUH,AUH,AU RNA binding methylglutaconyl-CoA hydratase,549,250950,Autosomal Recessive,yes,NA
59,TAZ-related Barth syndrome,NA,NA,MGA2,TAZ,TAZ,tafazzin,6901,302060,X-linked,unknown,1:454 000
60,OPA3-related Methylglutaconic aciduria type 3,Costeff syndrome,NA,MGA3,OPA3,OPA3,"optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)",80207,258501,"Autosomal Dominant, Autosomal Recessive",unknown,1:10 000 in Iraqi-Jewish
62,HMGCL-related 3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,Hydroxymethylglutaric aciduria,NA,HMGCLD,HMGCL,HMGCL,3-hydroxymethyl-3-methylglutaryl-CoA lyase,3155,246450,Autosomal Recessive,yes,NA
63,ACADSB-related 2-Methylbutyryl-CoA dehydrogenase deficiency,Short/branched-chain acyl-CoA dehydrogenase deficiency,2-Methylbutyrylglycinuria,MBCD,ACADSB,ACADSB,"acyl-CoA dehydrogenase, short/branched chain",36,610006,Autosomal Recessive,unknown,NA
64,HSD17B10-related 17-beta-hydroxysteroid dehydrogenase type 10 deficiency,2-Methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency,NA,HSD10,HSD17B10,HSD17B10,hydroxysteroid 17-beta dehydrogenase 10,3028,300438,X-linked,yes,NA
66,HIBCH-related 3-hydroxyisobutyryl-CoA hydrolase deficiency,β-hydroxyisobutyryl-CoA deacylase deficiency,3-Hydroxyisobutyric aciduria,NA,HIBCH,HIBCH,3-hydroxyisobutyryl-CoA hydrolase,26275,250620,Autosomal Recessive,unknown,NA
67,HIBADH-related 3-Hydroxyisobutyrate dehydrogenase deficiency,3-Hydroxyisobutyric aciduria,NA,HIBADH,HIBADH,HIBADH,3-hydroxyisobutyrate dehydrogenase,11112,608475,Autosomal Recessive,unknown,NA
68,PCCA-related Propionic acidemia,NA,NA,PAA,PCCA,PCCA,propionyl-CoA carboxylase alpha subunit;propionyl-CoA carboxylase beta subunit,5095,232000,Autosomal Recessive,yes,1:100 000
69,MMUT-related Methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency,NA,NA,MMA,MMUT,MMUT,methylmalonyl-CoA mutase,4594,251000,Autosomal Recessive,yes,NA
70,SLC46A1-related Proton-coupled folate transporter deficiency,Hereditary folate malabsorption,NA,HFM,SLC46A1,SLC46A1,solute carrier family 46 member 1,113235,229050,Autosomal Recessive,yes,NA
71,FOLR1-related Folate receptor alpha deficiency,Cerebral folate deficiency,NA,CFD,FOLR1,FOLR1,folate receptor 1,2348,613068,Autosomal Recessive,yes,NA
72,"MTHFR-related 5,10-methylenetetrahydrofolate reductase deficiency",Homocystinuria due to deficiency of MTHFR activity,NA,MTHFR,MTHFR,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),4524,236250,Autosomal Recessive,yes,NA
73,DHFR-related Dihydrofolate reductase deficiency,Megaloblastic anemia due to DHFR deficiency,NA,DHFRD,DHFR,DHFR,dihydrofolate reductase,1719,126060,Autosomal Recessive,yes,NA
75,ALDH7A1-related Alpha-amino adipic semialdehyde dehydrogenase deficiency,Pyridoxine-dependent seizures,Antiquitin deficiency,AASADHD,ALDH7A1,ALDH7A1,aldehyde dehydrogenase 7 family member A1,501,266100,Autosomal Recessive,yes,1:400 000-1:700 000
76,PNPO-related Pyridox(am)ine 5-phosphate oxidase deficiency,Pyridoxal 5' - phosphate (PLP) dependent seizures,NA,PNPO deficiency,PNPO,PNPO,pyridoxamine 5'-phosphate oxidase,55163,610090,Autosomal Recessive,yes,NA
77,MOCS1-related Molybdenum cofactor deficiency A,"MoCo deficiency, complementation group A",Molybdenum cofactor deficiency A,MOCD-A,MOCS1,MOCS1,molybdenum cofactor synthesis 1,4337,603707,Autosomal Recessive,yes,NA
78,MOCS2-related Molybdopterin synthase deficiency,"MoCo deficiency, complementation group B",NA,MOCD-B,MOCS2,MOCS2,molybdenum cofactor synthesis 2,4338,603708,Autosomal Recessive,unknown,NA
79,GPHN-related Molybdenum cofactor deficiency C,"MoCo deficiency, complementation group C",Gephyrin deficiency,MOCD-C,GPHN,GPHN,gephyrin,10243,603930,Autosomal Recessive,unknown,NA
80,CBLIF-related Intrinsic factor deficiency,Congenital pernicious anemia,"TCN III, TCN3 deficiency",IFD,CBLIF,CBLIF,gastric intrinsic factor,2694,261000,Autosomal Recessive,yes,NA
82,CUBN-related Cubilin deficiency,Najman-Imerslund-Gräsbeck syndrome (IGS) due to CUBN,"Megaloblastic anemia-1, Finnish type",IGS,CUBN,CUBN,cubilin,8029,261100,Autosomal Recessive,unknown,1:200 000 in Finand and Norway
83,AMN-related Amnionless deficiency,Najman-Imerslund-Gräsbeck syndrome due to AMN,"Megaloblastic anemia-1, Norwegian type",IGS,AMN,AMN,amnion associated transmembrane protein,81693,261100,Autosomal Recessive,yes,1:200 000 in Finand and Norway
84,TCN1-related Haptocorrin deficiency,TC I (TCN1) deficiency,Cobalamin R binder protein deficiency,HCD,TCN1,TCN1,transcobalamin 1,6947,193090,"Autosomal Dominant, Autosomal Recessive",unknown,NA
85,TCN2-related Transcobalamin 2 deficiency,TC II deficiency,TCN2 deficiency,TCD,TCN2,TCN2,transcobalamin 2,6948,275350,Autosomal Recessive,yes,NA
86,"MMAA-related Methylmalonic aciduria, cblA type","Methylmalonic aciduria, vitamin B12 responsive, cblA type",NA,cblA,MMAA,MMAA,methylmalonic aciduria (cobalamin deficiency) cblA type,166785,251100,Autosomal Recessive,yes,NA
87,"MMAB-related Methylmalonic aciduria, cblB type","Methylmalonic aciduria, vitamin B12 responsive, cblB type",NA,cblB,MMAB,MMAB,methylmalonic aciduria (cobalamin deficiency) cblB type,326625,251110,Autosomal Recessive,yes,NA
88,"MMADHC-related Methylmalonic aciduria, cblDv2 type","Methylmalonic aciduria, vitamin B12 responsive, cblD type",NA,cblD-MMA,MMADHC,MMADHC,"methylmalonic aciduria and homocystinuria, cblD type",27249,277410,Autosomal Recessive,yes,NA
89,"MMADHC-related Homocystinuria, cblDv1 type","Homocystinuria, cblD type, variant 1",NA,cblD-HC,MMADHC,MMADHC,"methylmalonic aciduria and homocystinuria, cblD type",27249,277410,Autosomal Recessive,yes,NA
90,"MMACHC-related Methylmalonic aciduria and homocystinuria, cblC type",B12-responsive MMA and homocystinuria,NA,cblC,MMACHC,MMACHC,"methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria",25974,277400,Autosomal Recessive,yes,NA
91,"LMBRD1-relasted Methylmalonic aciduria and homocystinuria, cblF type",Lysosomal membrane cobalamin transporter deficiency,NA,cblF,LMBRD1,LMBRD1,LMBR1 domain containing 1,55788,277380,Autosomal Recessive,yes,NA
92,CD320-related Transcobalamin receptor defect,TCR/CD320 defect,"Methlymalonic acidemia, TCblR Type",TCR,CD320,CD320,CD320 molecule,51293,613646,Autosomal Recessive,unknown,NA
93,BTD-related Biotinidase deficiency,Late Onset Multiple Carboxylase Deficiency,NA,BTD deficiency,BTD,BTD,biotinidase,686,253260,Autosomal Recessive,yes,1:61 000
94,HLCS-related Holocarboxylase synthetase deficiency,Infantile Onset Multiple Carboxylase Deficiency,NA,HCSD,HLCS,HLCS,holocarboxylase synthetase,3141,253270,Autosomal Recessive,yes,NA
95,SLC19A2-related Thiamine transporter 1 deficiency,Thiamine-responsive megaloblastic anemia syndrome (SLC19A2),Rogers syndrome,THTR1,SLC19A2,SLC19A2,solute carrier family 19 member 2,10560,603941,Autosomal Recessive,unknown,NA
96,AGXT-related Alanine-glyoxylate aminotransferase deficiency (peroxisomal),Primary hyperoxaluria type 1,AGT,PH 1,AGXT,AGXT,alanine-glyoxylate aminotransferase,189,259900,Autosomal Recessive,unknown,1:500 000
97,GRHPR-related Glyoxylate reductase/hydroxypyruvate reductase deficiency,Primary hyperoxaluria type 2,D-glycerate dehydrogenase deficency,PH 2,GRHPR,GRHPR,glyoxylate and hydroxypyruvate reductase,9380,260000,Autosomal Recessive,unknown,NA
99,TH-related Tyrosine hydroxylase deficiency,L-dopa responsive dystonia,NA,TH,TH,TH,tyrosine hydroxylase,7054,191290,Autosomal Recessive,yes,NA
100,DDC-related Aromatic L-amino acid decarboxylase deficiency,NA,NA,AADC,DDC,DDC,dopa decarboxylase,1644,608643,Autosomal Recessive,yes,NA
101,DBH-related Dopamine beta-hydroxylase deficiency,NA,NA,DBH,DBH,DBH,dopamine beta-hydroxylase,1621,223360,Autosomal Recessive,yes,NA
102,MAOA-related Monoamine oxidase A deficiency,Brunner syndrome,NA,MAO-A,MAOA,MAOA,monoamine oxidase A,4128,309850,X-linked-R (XLR),yes,NA
103,SLC6A3-related Dopamine transporter deficiency,Infantile Parkinsonism-dystonia,NA,DAT,SLC6A3,SLC6A3,solute carrier family 6 member 3,6531,613135;126455,Autosomal Recessive,unknown,NA
104,GAMT-related Guanidinoacetate methyltransferase deficiency,Cerebral creatine deficiency syndrome type 2,NA,GAMT,GAMT,GAMT,guanidinoacetate N-methyltransferase,2593,612736,Autosomal Recessive,yes,NA
105,GATM-related Arginine:glycine amidinotransferase deficiency,Cerebral creatine deficiency syndrome type 3,NA,AGAT,GATM,GATM,glycine amidinotransferase,2628,612718,Autosomal Recessive,yes,NA
106,SLC6A8-related Creatine transporter deficiency,Cerebral creatine deficiency syndrome type 1,X-linked creatine deficiency syndrome,"CrT, SLC6A8",SLC6A8,SLC6A8,solute carrier family 6 member 8,6535,300352,X-linked,yes,NA
107,FECH-related Ferrochelatase deficiency,Erythropoietic protoporphyria,NA,EPP,FECH,FECH,ferrochelatase,2235,177000,Autosomal Dominant,yes,1:75 000-1:200 000
108,ALAS2-related Erythroid 5-aminolevulinate synthase superactivity,X-linked protoporphyria,NA,XLDPP,ALAS2,ALAS2,5'-aminolevulinate synthase 2,212,300752,X-linked,yes,NA
109,PPOX-related Protoporphyrinogen oxidase deficiency,Porphyria variegata,South African porphyria,PV,PPOX,PPOX,protoporphyrinogen oxidase,5498,176200,Autosomal Dominant,yes,1:100 000 in Europe
110,ALAS2-related Erythroid 5-aminolevulinate synthase deficiency,X-linked recessive sideroblastic anemia type 1,NA,XLSA,ALAS2,ALAS2,5'-aminolevulinate synthase 2,212,300751,X-linked,unknown,NA
111,UROS-related Uroporphyrinogen III synthase deficiency,Congenital erythropoietic porphyria,Uroporphyrinogen cosynthase deficiency,CEP,UROS,UROS,uroporphyrinogen III synthase,7390,263700,Autosomal Recessive,yes,NA
112,HMBS-related Porphobilinogen deaminase deficiency,Acute intermittent porphyria,Hydroxymethylbilane synthase deficiency,AIP,HMBS,HMBS,hydroxymethylbilane synthase,3145,176000,"Autosomal Dominant, Autosomal Recessive",yes,1:50 000; 1:10 000 in Swedish
113,CPOX-related Coproporphyrinogen oxidase deficiency,Hereditary coproporphyria,NA,HC,CPOX,CPOX,coproporphyrinogen oxidase,1371,121300,Autosomal Dominant,yes,1:1 000 000 in Europe
114,UROD-related Hepatic uroporphyrinogen decarboxylase deficiency,"Porphyria cutanea tarda type I, II and III and hepatoerythropoietic porphyria",NA,PCT,UROD,UROD,uroporphyrinogen decarboxylase,7389,176100,"Autosomal Dominant, Autosomal Recessive",yes,1:25 000 in Western Europe
115,ALAD-related Delta-aminolevulinate dehydratase deficiency,Doss porphyria,Porphobilinogen synthase deficiency,ALAD,ALAD,ALAD,aminolevulinate dehydratase,210,125270,Autosomal Recessive,yes,NA
116,STAR-related Steroidogenic acute regulatory protein deficiency,Lipoid adrenal hyperplasia,NA,StAR deficiency,STAR,STAR,steroidogenic acute regulatory protein,6770,201710,Autosomal Recessive,unknown,NA
117,CYP17A1-related 17-alpha-Hydroxylase deficiency,Congenital adrenal hyperplasia,NA,P450c17 deficiency,CYP17A1,CYP17A1,cytochrome P450 family 17 subfamily A member 1,1586,202110,Autosomal Recessive,unknown,1:1 000 000
118,HSD3B2-related 3-beta-Hydroxysteroid dehydrogenase deficiency,Congenital adrenal hyperplasia,NA,3beta-HSD deficiency,HSD3B2,HSD3B2,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",3284,201810,Autosomal Recessive,unknown,NA
119,CYP21A2-related 21-Hydroxylase deficiency,Congenital adrenal hyperplasia,NA,CAH,CYP21A2,CYP21A2,cytochrome P450 family 21 subfamily A member 2,1589,201910,Autosomal Recessive,unknown,1:14 000
120,CYP11B1-related 11-beta-Hydroxylase type 1 deficiency,Congenital adrenal hyperplasia,NA,CAH,CYP11B1,CYP11B1,cytochrome P450 family 11 subfamily B member 1,1584,202010,Autosomal Recessive,unknown,1:100 000-1:200 000
122,CYP11B1-related 11-beta-Hydroxylase superactivity,Glucocorticoid suppressible hyperaldosteronism 1,NA,HALD1,CYP11B1,CYP11B1,,NA,103900,Autosomal Dominant,unknown,1:10 000-5:10 000
123,HSD11B2-related 11-beta-Hydroxysteroid dehydrogenase 2 deficiency,Apparent mineralocorticoid excess,NA,AME,HSD11B2,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2,3291,218030,Autosomal Recessive,unknown,NA
124,H6PD-related Hexose-6-phosphate dehydrogenase deficiency,Cortisone Reductase Deficiency type 1,NA,CRD,H6PD,H6PD,,NA,604931,Autosomal Recessive,unknown,NA
125,"CYP17A1-related 17,20-Lyase deficiency",NA,NA,P450c17 deficiency,CYP17A1,CYP17A1,cytochrome P450 family 17 subfamily A member 1,1586,202110,Autosomal Recessive,unknown,NA
126,HSD17B3-related 17-beta-Hydroxysteroid dehydrogenase deficiency,NA,NA,17b-HSD deficiency,HSD17B3,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,3293,264300,Autosomal Recessive,unknown,1:147 000
127,SRD5A2-related Steroid 5-alpha-reductase type 2 deficiency,Pseudovaginal perineoscrotal hypospadia,NA,5alpha reductase deficiency,SRD5A2,SRD5A2,steroid 5 alpha-reductase 2,6716,264600,Autosomal Recessive,unknown,NA
128,CYP19A1-related Aromatase deficiency,NA,NA,Aro deficiency,CYP19A1,CYP19A1,cytochrome P450 family 19 subfamily A member 1,1588,107910,Autosomal Recessive,unknown,NA
129,AR-related Androgen receptor deficiency,Testicular feminization,Androgen insensitivity syndrome,AIS,AR,AR,androgen receptor,367,300068,X-linked,unknown,1:20 000-1:64 000
130,ESR1-related Estrogen receptor deficiency,Estrogen resistance,NA,ESR1,ESR1,ESR1,estrogen receptor 1,2099,133430,Autosomal Recessive,unknown,NA
131,PGR-related Progesterone receptor deficiency,Progesterone resistance,Pseudocorpus luteum deficiency,PGR,PGR,PGR,progesterone receptor,5241,264080,Autosomal Recessive,unknown,NA
132,NR3C1-related Glucocorticoid receptor deficiency,Glucocorticoid resistance,NA,GCCR defect,NR3C1,NR3C1,nuclear receptor subfamily 3 group C member 1,2908,138040,Autosomal Dominant,unknown,NA
133,NR3C2-related Mineralocorticoid receptor deficiency,Pseudohypoaldosteronism,Mineralocorticoid resistance,PHA1,NR3C2,NR3C2,nuclear receptor subfamily 3 group C member 2,4306,264350,Autosomal Recessive,unknown,NA
134,BCAT2-related Branched-chain aminotransferase 2 deficiency,Hypervalinemia and hyperleucine-isoleucinemia,BCAA transaminase,BCAT2,BCAT2,BCAT2,,NA,238340;113530,Autosomal Recessive,unknown,NA
135,ACAD8-related Isobutyryl-CoA dehydrogenase deficiency,Isobutyrylglycinuria,NA,IBD,ACAD8,ACAD8,acyl-CoA dehydrogenase family member 8,27034,611283,Autosomal Recessive,unknown,NA
136,ALDH6A1-related Methylmalonate semialdehyde dehydrogenase deficiency,NA,NA,MMSDH,ALDH6A1,ALDH6A1,aldehyde dehydrogenase 6 family member A1,4329,603178,Autosomal Recessive,unknown,NA
137,LTC4S-related Leukotriene C4 synthase deficiency,Cysteinyl leukotriene synthase 4 deficiency,NA,LTC4D,LTC4S,LTC4S,leukotriene C4 synthase,4056,246530,Autosomal Recessive,unknown,NA
139,DPEP1-related Dipeptidase deficiency,Cysteinylglycinuria,Cysteinyl-glycinase deficiency,MBDD,DPEP1,DPEP1,dipeptidase 1 (renal),1800,179780,Unknown,unknown,NA
